Exch	ExchType	Name	Expiry	ScripType	StrikeRate	LotSize	QtyLimit	ScripCode
N	D	NIFTY 26 JUN 2025 CE 18250.00	6/26/2025	CE	18250	75	1800	35004
N	D	NIFTY 26 JUN 2025 PE 18250.00	6/26/2025	PE	18250	75	1800	35005
N	D	NIFTY 26 JUN 2025 CE 18300.00	6/26/2025	CE	18300	75	1800	35008
N	D	NIFTY 26 JUN 2025 PE 18300.00	6/26/2025	PE	18300	75	1800	35009
N	D	NIFTY 26 JUN 2025 CE 30000.00	6/26/2025	CE	30000	75	1800	35219
N	D	NIFTY 26 JUN 2025 PE 30000.00	6/26/2025	PE	30000	75	1800	35220
N	D	NIFTY 26 JUN 2025 CE 7000.00	6/26/2025	CE	7000	75	1800	35577
N	D	NIFTY 26 JUN 2025 PE 7000.00	6/26/2025	PE	7000	75	1800	35592
N	D	NIFTY 26 JUN 2025 CE 17900.00	6/26/2025	CE	17900	75	1800	35679
N	D	NIFTY 26 JUN 2025 PE 17900.00	6/26/2025	PE	17900	75	1800	35681
N	D	NIFTY 26 JUN 2025 CE 17950.00	6/26/2025	CE	17950	75	1800	35686
N	D	NIFTY 26 JUN 2025 PE 17950.00	6/26/2025	PE	17950	75	1800	35688
N	D	NIFTY 26 JUN 2025 CE 18050.00	6/26/2025	CE	18050	75	1800	35695
N	D	NIFTY 26 JUN 2025 PE 18050.00	6/26/2025	PE	18050	75	1800	35704
N	D	NIFTY 26 JUN 2025 CE 18100.00	6/26/2025	CE	18100	75	1800	35740
N	D	NIFTY 26 JUN 2025 PE 18100.00	6/26/2025	PE	18100	75	1800	35741
N	D	NIFTY 26 JUN 2025 CE 18150.00	6/26/2025	CE	18150	75	1800	35767
N	D	NIFTY 26 JUN 2025 PE 18150.00	6/26/2025	PE	18150	75	1800	35768
N	D	NIFTY 26 JUN 2025 CE 18200.00	6/26/2025	CE	18200	75	1800	35782
N	D	NIFTY 26 JUN 2025 PE 18200.00	6/26/2025	PE	18200	75	1800	35783
N	D	NIFTY 26 JUN 2025 CE 30400.00	6/26/2025	CE	30400	75	1800	36035
N	D	NIFTY 26 JUN 2025 PE 30400.00	6/26/2025	PE	30400	75	1800	36036
N	D	NIFTY 26 JUN 2025 CE 23000.00	6/26/2025	CE	23000	75	1800	37749
N	D	NIFTY 26 JUN 2025 CE 13000.00	6/26/2025	CE	13000	75	1800	37778
N	D	NIFTY 26 JUN 2025 PE 13000.00	6/26/2025	PE	13000	75	1800	37781
N	D	NIFTY 26 JUN 2025 PE 23000.00	6/26/2025	PE	23000	75	1800	37794
N	D	NIFTY 26 JUN 2025 CE 29000.00	6/26/2025	CE	29000	75	1800	38150
N	D	NIFTY 26 JUN 2025 PE 29000.00	6/26/2025	PE	29000	75	1800	38151
N	D	NIFTY 26 JUN 2025 CE 20000.00	6/26/2025	CE	20000	75	1800	38373
